discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link,latitude,longtidute
VWT,Molchanova Natalia,RU,125,2010-06-12,VWT-NLT Natalia Molchanova (WR-attempts),Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CWT,Molchanova Natalia,RU,101,2009-09-25,Ruler of the Deep,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,AIDA Freediving WC Kalamata 2011 CWT,https://www.youtube.com/watch?v=yu8lT3WlHQU,61.52401,105.318756
CWT,Molchanova Natalia,RU,95,2008-07-25,Mediterranean Freediving Meeting,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CWT,Molchanova Natalia,RU,86,2005-09-01,1st AIDA Individual Constant Weight World Freediving Championship,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CNF,Molchanova Natalia,RU,71,2015-05-13,Russian National Open,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,Masa&Natalia - Dahab 015,https://www.youtube.com/watch?v=dMQvRGA0Bl8,61.52401,105.318756
CNF,Molchanova Natalia,RU,70,2014-05-15,Russian National,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,Рекорд мира Натальи Молчановой - ныряние в глубину без ласт 70 м,https://www.youtube.com/watch?v=nr7__ykz4kA,61.52401,105.318756
CNF,Molchanova Natalia,RU,69,2013-09-15,AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,AIDA 2013 @Kalamata CNF,https://www.youtube.com/watch?v=i9ObrTAG3oE,61.52401,105.318756
CNF,Molchanova Natalia,RU,68,2013-04-25,Russian National Open,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CNF,Molchanova Natalia,RU,66,2012-05-08,FDD Russian Open,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CNF,Molchanova Natalia,RU,62,2009-12-03,5th AIDA Individual World Championship 2009,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CNF,Molchanova Natalia,RU,60,2008-06-10,Triple Depth 2008,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CNF,Avseenko Natalia,RU,57,2008-04-01,Vertical Blue 2008,Women,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000408,YogaDa! Freediving. Natalie Avseenko - 57m World Freediving record,https://www.youtube.com/watch?v=S_FybU0Jvrw,61.52401,105.318756
CNF,Molchanova Natalia,RU,55,2005-11-05,Triple Depth - Freedive Dahab,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
CNF,Molchanova Natalia,RU,43,2004-11-29,Sinai Last Chance 1-6,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
FIM,Molchanova Natalia,RU,91,2013-09-15,AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
